First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
47,47-4061,Rail-Track Laying and Maintenance Equipment Operators,Baby Boomer,3356,3467,111,0.03,0.19,0.19,0
43,43-9071,"Office Machine Operators, Except Computer",Baby Boomer,9141,9252,111,0.01,0.11,0.13,0.02
27,27-1027,Set and Exhibit Designers,Baby Boomer,1097,1207,110,0.1,0.1,0.11,0.01
29,29-1011,Chiropractors,Baby Boomer,5243,5352,109,0.02,0.11,0.12,0.01
15,15-2021,Mathematicians,Baby Boomer,363,468,105,0.29,0.11,0.12,0.01
41,41-9012,Models,Baby Boomer,812,915,103,0.13,0.09,0.1,0.01
49,49-2092,"Electric Motor, Power Tool, and Related Repairers",Baby Boomer,3822,3925,103,0.03,0.17,0.2,0.03
51,51-9141,Semiconductor Processors,Baby Boomer,3257,3359,102,0.03,0.13,0.15,0.02
25,25-9011,Audio-Visual and Multimedia Collections Specialists,Baby Boomer,2151,2251,100,0.05,0.23,0.24,0.01
47,47-4031,Fence Erectors,Baby Boomer,2581,2680,99,0.04,0.07,0.09,0.02
49,49-3051,Motorboat Mechanics and Service Technicians,Baby Boomer,3601,3700,99,0.03,0.14,0.16,0.02
51,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Baby Boomer,6409,6508,99,0.02,0.26,0.3,0.04
19,19-1011,Animal Scientists,Baby Boomer,364,462,98,0.27,0.14,0.17,0.03
17,17-1021,Cartographers and Photogrammetrists,Baby Boomer,1995,2093,98,0.05,0.16,0.17,0.01
39,39-7012,Travel Guides,Baby Boomer,1518,1613,95,0.06,0.23,0.25,0.02
29,29-1021,"Dentists, General",Baby Boomer,28581,28675,94,0,0.21,0.22,0.01
53,53-7041,Hoist and Winch Operators,Baby Boomer,293,384,91,0.31,0.1,0.14,0.04
51,51-9022,"Grinding and Polishing Workers, Hand",Baby Boomer,4897,4985,88,0.02,0.13,0.16,0.03
49,49-9061,Camera and Photographic Equipment Repairers,Baby Boomer,352,438,86,0.24,0.14,0.17,0.03
33,33-9031,Gaming Surveillance Officers and Gaming Investigators,Baby Boomer,1701,1786,85,0.05,0.17,0.18,0.01
29,29-9092,Genetic Counselors,Baby Boomer,107,191,84,0.79,0.06,0.08,0.02
19,19-4092,Forensic Science Technicians,Baby Boomer,1768,1850,82,0.05,0.14,0.14,0
51,51-2091,Fiberglass Laminators and Fabricators,Baby Boomer,2490,2572,82,0.03,0.11,0.14,0.03
49,49-9081,Wind Turbine Service Technicians,Baby Boomer,945,1025,80,0.08,0.17,0.19,0.02
29,29-1029,"Dentists, All Other Specialists",Baby Boomer,1529,1609,80,0.05,0.23,0.24,0.01
43,43-2021,Telephone Operators,Baby Boomer,1950,2029,79,0.04,0.15,0.18,0.03
19,19-1032,Foresters,Baby Boomer,2203,2281,78,0.04,0.2,0.21,0.01
49,49-3091,Bicycle Repairers,Baby Boomer,423,497,74,0.17,0.04,0.05,0.01
19,19-1041,Epidemiologists,Baby Boomer,536,609,73,0.14,0.11,0.11,0
39,39-3019,"Gaming Service Workers, All Other",Baby Boomer,1934,2006,72,0.04,0.13,0.14,0.01
17,17-2021,Agricultural Engineers,Baby Boomer,251,319,68,0.27,0.09,0.11,0.02
47,47-5051,"Rock Splitters, Quarry",Baby Boomer,327,393,66,0.2,0.06,0.09,0.03
19,19-3041,Sociologists,Baby Boomer,292,357,65,0.22,0.12,0.13,0.01
29,29-1022,Oral and Maxillofacial Surgeons,Baby Boomer,1919,1984,65,0.03,0.26,0.28,0.02
51,51-4061,"Model Makers, Metal and Plastic",Baby Boomer,1647,1711,64,0.04,0.24,0.29,0.05
15,15-2099,"Mathematical Science Occupations, All Other",Baby Boomer,113,174,61,0.54,0.08,0.11,0.03
19,19-2011,Astronomers,Baby Boomer,428,488,60,0.14,0.18,0.19,0.01
53,53-4021,"Railroad Brake, Signal, and Switch Operators",Baby Boomer,7610,7670,60,0.01,0.29,0.29,0
35,35-2013,"Cooks, Private Household",Baby Boomer,552,605,53,0.1,0.3,0.31,0.01
53,53-7031,Dredge Operators,Baby Boomer,269,319,50,0.19,0.1,0.14,0.04
47,47-2072,Pile-Driver Operators,Baby Boomer,578,628,50,0.09,0.12,0.14,0.02
19,19-3092,Geographers,Baby Boomer,205,252,47,0.23,0.14,0.15,0.01
19,19-3093,Historians,Baby Boomer,633,679,46,0.07,0.16,0.16,0
53,53-6041,Traffic Technicians,Baby Boomer,957,1003,46,0.05,0.14,0.15,0.01
33,33-9011,Animal Control Workers,Baby Boomer,1901,1946,45,0.02,0.14,0.14,0
53,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Baby Boomer,1374,1415,41,0.03,0.24,0.25,0.01
33,33-3041,Parking Enforcement Workers,Baby Boomer,1562,1602,40,0.03,0.15,0.15,0
49,49-9011,Mechanical Door Repairers,Baby Boomer,2382,2419,37,0.02,0.11,0.15,0.04
11,nov-71,Gaming Managers,Baby Boomer,871,907,36,0.04,0.17,0.18,0.01
25,25-2059,"Special Education Teachers, All Other",Baby Boomer,7733,7769,36,0,0.19,0.19,0
39,39-3021,Motion Picture Projectionists,Baby Boomer,351,386,35,0.1,0.04,0.05,0.01
47,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",Baby Boomer,6815,6850,35,0.01,0.1,0.12,0.02
27,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",Baby Boomer,3892,3925,33,0.01,0.1,0.1,0
27,27-2032,Choreographers,Baby Boomer,82,111,29,0.35,0.01,0.01,0
43,43-9081,Proofreaders and Copy Markers,Baby Boomer,3510,3537,27,0.01,0.23,0.26,0.03
43,43-2099,"Communications Equipment Operators, All Other",Baby Boomer,278,304,26,0.09,0.09,0.1,0.01
29,29-1023,Orthodontists,Baby Boomer,2020,2046,26,0.01,0.24,0.26,0.02
27,27-2031,Dancers,Baby Boomer,105,128,23,0.22,0.01,0.01,0
27,27-4013,Radio Operators,Baby Boomer,192,215,23,0.12,0.12,0.14,0.02
47,47-2231,Solar Photovoltaic Installers,Baby Boomer,307,330,23,0.07,0.04,0.06,0.02
51,51-2093,Timing Device Assemblers and Adjusters,Baby Boomer,77,99,22,0.29,0.06,0.08,0.02
49,49-9045,"Refractory Materials Repairers, Except Brickmasons",Baby Boomer,368,389,21,0.06,0.16,0.21,0.05
45,45-2021,Animal Breeders,Baby Boomer,248,268,20,0.08,0.06,0.07,0.01
51,51-9151,Photographic Process Workers and Processing Machine Operators,Baby Boomer,5393,5413,20,0,0.1,0.12,0.02
45,45-3021,Hunters and Trappers,Baby Boomer,340,359,19,0.06,0.17,0.16,-0.01
15,15-2091,Mathematical Technicians,Baby Boomer,80,98,18,0.23,0.06,0.07,0.01
39,39-5093,Shampooers,Baby Boomer,1858,1875,17,0.01,0.08,0.09,0.01
51,51-9122,"Painters, Transportation Equipment",Baby Boomer,4734,4751,17,0,0.08,0.09,0.01
53,53-2012,Commercial Pilots,Baby Boomer,7468,7484,16,0,0.19,0.21,0.02
53,53-5022,Motorboat Operators,Baby Boomer,722,737,15,0.02,0.18,0.18,0
33,33-3052,Transit and Railroad Police,Baby Boomer,1027,1042,15,0.01,0.23,0.23,0
27,27-1029,"Designers, All Other",Baby Boomer,1154,1165,11,0.01,0.1,0.11,0.01
49,49-9097,Signal and Track Switch Repairers,Baby Boomer,1740,1751,11,0.01,0.19,0.19,0
29,29-1024,Prosthodontists,Baby Boomer,181,189,8,0.04,0.28,0.3,0.02
53,53-4041,Subway and Streetcar Operators,Baby Boomer,1410,1415,5,0,0.15,0.15,0
53,53-4099,"Rail Transportation Workers, All Other",Baby Boomer,562,566,4,0.01,0.18,0.18,0
51,51-7032,"Patternmakers, Wood",Baby Boomer,255,258,3,0.01,0.19,0.24,0.05
49,49-9092,Commercial Divers,Baby Boomer,708,710,2,0,0.13,0.13,0
47,47-4091,Segmental Pavers,Baby Boomer,48,49,1,0.02,0.02,0.02,0
45,45-4023,Log Graders and Scalers,Baby Boomer,417,416,-1,0,0.09,0.13,0.04
39,39-4011,Embalmers,Baby Boomer,1098,1095,-3,0,0.22,0.22,0
39,39-1012,Slot Supervisors,Baby Boomer,1469,1463,-6,0,0.14,0.15,0.01
23,23-1022,"Arbitrators, Mediators, and Conciliators",Baby Boomer,1586,1579,-7,0,0.19,0.2,0.01
49,49-3092,Recreational Vehicle Service Technicians,Baby Boomer,1711,1703,-8,0,0.12,0.14,0.02
53,53-4012,Locomotive Firers,Baby Boomer,614,606,-8,-0.01,0.37,0.36,-0.01
17,17-3019,"Drafters, All Other",Baby Boomer,2449,2432,-17,-0.01,0.13,0.16,0.03
33,33-2022,Forest Fire Inspectors and Prevention Specialists,Baby Boomer,223,206,-17,-0.08,0.1,0.09,-0.01
49,49-9093,"Fabric Menders, Except Garment",Baby Boomer,97,79,-18,-0.19,0.09,0.1,0.01
51,51-4062,"Patternmakers, Metal and Plastic",Baby Boomer,1540,1521,-19,-0.01,0.32,0.38,0.06
47,47-4099,"Construction and Related Workers, All Other",Baby Boomer,4966,4946,-20,0,0.11,0.13,0.02
51,51-9191,Adhesive Bonding Machine Operators and Tenders,Baby Boomer,3173,3150,-23,-0.01,0.14,0.19,0.05
27,27-1022,Fashion Designers,Baby Boomer,2285,2258,-27,-0.01,0.1,0.11,0.01
33,33-2021,Fire Inspectors and Investigators,Baby Boomer,1766,1739,-27,-0.02,0.15,0.15,0
47,47-2211,Sheet Metal Workers,Baby Boomer,18218,18189,-29,0,0.1,0.12,0.02
51,51-9194,Etchers and Engravers,Baby Boomer,1572,1540,-32,-0.02,0.14,0.17,0.03
51,51-7031,"Model Makers, Wood",Baby Boomer,474,439,-35,-0.07,0.18,0.21,0.03
51,51-4052,"Pourers and Casters, Metal",Baby Boomer,1762,1726,-36,-0.02,0.14,0.17,0.03
47,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Baby Boomer,834,797,-37,-0.04,0.05,0.07,0.02
47,47-2171,Reinforcing Iron and Rebar Workers,Baby Boomer,1192,1154,-38,-0.03,0.05,0.07,0.02
49,49-3052,Motorcycle Mechanics,Baby Boomer,2046,2004,-42,-0.02,0.1,0.12,0.02
51,51-6051,"Sewers, Hand",Baby Boomer,2387,2344,-43,-0.02,0.26,0.3,0.04
51,51-9031,"Cutters and Trimmers, Hand",Baby Boomer,2994,2949,-45,-0.02,0.17,0.21,0.04
29,29-1081,Podiatrists,Baby Boomer,1119,1068,-51,-0.05,0.1,0.09,-0.01
45,45-4029,"Logging Workers, All Other",Baby Boomer,841,790,-51,-0.06,0.13,0.15,0.02
47,47-2053,Terrazzo Workers and Finishers,Baby Boomer,357,306,-51,-0.14,0.05,0.06,0.01
33,33-3031,Fish and Game Wardens,Baby Boomer,1049,995,-54,-0.05,0.15,0.15,0
51,51-9123,"Painting, Coating, and Decorating Workers",Baby Boomer,2039,1979,-60,-0.03,0.09,0.11,0.02
47,47-2043,Floor Sanders and Finishers,Baby Boomer,425,360,-65,-0.15,0.04,0.05,0.01
33,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,Baby Boomer,9847,9763,-84,-0.01,0.16,0.16,0
33,33-3011,Bailiffs,Baby Boomer,2544,2454,-90,-0.04,0.15,0.15,0
23,23-2091,Court Reporters,Baby Boomer,4716,4622,-94,-0.02,0.16,0.16,0
51,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Baby Boomer,3408,3302,-106,-0.03,0.15,0.18,0.03
51,51-4071,Foundry Mold and Coremakers,Baby Boomer,2521,2412,-109,-0.04,0.17,0.2,0.04
11,nov-51,Food Service Managers,Baby Boomer,33981,33865,-116,0,0.11,0.12,0.01
49,49-9095,Manufactured Building and Mobile Home Installers,Baby Boomer,450,324,-126,-0.28,0.08,0.09,0.01
51,51-6092,Fabric and Apparel Patternmakers,Baby Boomer,1347,1212,-135,-0.1,0.16,0.18,0.02
23,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Baby Boomer,2498,2361,-137,-0.05,0.16,0.16,0
25,25-2023,"Career/Technical Education Teachers, Middle School",Baby Boomer,3718,3569,-149,-0.04,0.2,0.2,0
27,27-1019,"Artists and Related Workers, All Other",Baby Boomer,2928,2778,-150,-0.05,0.2,0.2,0
45,45-4021,Fallers,Baby Boomer,1461,1305,-156,-0.11,0.13,0.15,0.02
41,41-2012,Gaming Change Persons and Booth Cashiers,Baby Boomer,3345,3182,-163,-0.05,0.13,0.14,0.01
33,33-2011,Firefighters,Baby Boomer,50956,50790,-166,0,0.17,0.17,0
27,27-3043,Writers and Authors,Baby Boomer,25183,25013,-170,-0.01,0.19,0.2,0.01
51,51-6042,Shoe Machine Operators and Tenders,Baby Boomer,1067,877,-190,-0.18,0.25,0.26,0.01
49,49-9064,Watch Repairers,Baby Boomer,1910,1718,-192,-0.1,0.29,0.3,0.01
51,51-4111,Tool and Die Makers,Baby Boomer,21429,21230,-199,-0.01,0.24,0.27,0.03
23,23-1023,"Judges, Magistrate Judges, and Magistrates",Baby Boomer,4730,4516,-214,-0.05,0.16,0.16,0
43,43-4031,"Court, Municipal, and License Clerks",Baby Boomer,22651,22404,-247,-0.01,0.17,0.18,0.01
47,47-4051,Highway Maintenance Workers,Baby Boomer,25786,25537,-249,-0.01,0.17,0.18,0.01
43,43-9031,Desktop Publishers,Baby Boomer,3068,2808,-260,-0.08,0.14,0.16,0.02
17,17-1012,Landscape Architects,Baby Boomer,3646,3376,-270,-0.07,0.15,0.16,0.02
33,33-1011,First-Line Supervisors of Correctional Officers,Baby Boomer,8182,7888,-294,-0.04,0.17,0.17,0
27,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Baby Boomer,5805,5503,-302,-0.05,0.2,0.2,0
51,51-7099,"Woodworkers, All Other",Baby Boomer,4043,3734,-309,-0.08,0.23,0.26,0.03
43,43-4061,"Eligibility Interviewers, Government Programs",Baby Boomer,24122,23807,-315,-0.01,0.18,0.18,0
47,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Baby Boomer,2170,1840,-330,-0.15,0.05,0.07,0.02
43,43-3041,Gaming Cage Workers,Baby Boomer,3511,3171,-340,-0.1,0.16,0.17,0.01
27,27-3022,Reporters and Correspondents,Baby Boomer,8203,7811,-392,-0.05,0.12,0.15,0.03
47,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Baby Boomer,2171,1779,-392,-0.18,0.07,0.08,0.01
49,49-9063,Musical Instrument Repairers and Tuners,Baby Boomer,3006,2608,-398,-0.13,0.23,0.23,0
51,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",Baby Boomer,5166,4762,-404,-0.08,0.11,0.13,0.02
47,47-2082,Tapers,Baby Boomer,1893,1474,-419,-0.22,0.06,0.06,0
51,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",Baby Boomer,2954,2531,-423,-0.14,0.16,0.18,0.02
47,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Baby Boomer,2639,2213,-426,-0.16,0.07,0.09,0.02
51,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Baby Boomer,6832,6371,-461,-0.07,0.12,0.15,0.03
41,41-3031,"Securities, Commodities, and Financial Services Sales Agents",Baby Boomer,45657,45161,-496,-0.01,0.11,0.12,0.01
51,51-6041,Shoe and Leather Workers and Repairers,Baby Boomer,2495,1992,-503,-0.2,0.22,0.22,0
53,53-7063,Machine Feeders and Offbearers,Baby Boomer,16552,16041,-511,-0.03,0.13,0.15,0.02
27,27-1012,Craft Artists,Baby Boomer,5947,5407,-540,-0.09,0.23,0.23,0
47,47-2041,Carpet Installers,Baby Boomer,3866,3321,-545,-0.14,0.07,0.08,0.01
47,47-2121,Glaziers,Baby Boomer,5081,4535,-546,-0.11,0.08,0.1,0.02
47,47-2022,Stonemasons,Baby Boomer,2591,2037,-554,-0.21,0.1,0.11,0.01
27,27-3041,Editors,Baby Boomer,23297,22733,-564,-0.02,0.16,0.18,0.02
33,33-9091,Crossing Guards,Baby Boomer,11216,10652,-564,-0.05,0.15,0.15,0
11,nov-32,"Education Administrators, Elementary and Secondary School",Baby Boomer,51228,50631,-597,-0.01,0.22,0.22,0
11,11-1031,Legislators,Baby Boomer,10346,9738,-608,-0.06,0.17,0.17,0
27,27-1014,Multimedia Artists and Animators,Baby Boomer,11340,10729,-611,-0.05,0.17,0.18,0.01
33,33-1012,First-Line Supervisors of Police and Detectives,Baby Boomer,17521,16899,-622,-0.04,0.17,0.17,0
49,49-9044,Millwrights,Baby Boomer,10182,9550,-632,-0.06,0.21,0.24,0.03
51,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",Baby Boomer,3899,3263,-636,-0.16,0.18,0.21,0.03
37,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,Baby Boomer,40085,39401,-684,-0.02,0.18,0.19,0.01
51,51-9071,Jewelers and Precious Stone and Metal Workers,Baby Boomer,6792,6071,-721,-0.11,0.16,0.18,0.02
33,33-3051,Police and Sheriff's Patrol Officers,Baby Boomer,110468,109733,-735,-0.01,0.17,0.17,0
23,23-1012,Judicial Law Clerks,Baby Boomer,2666,1927,-739,-0.28,0.19,0.16,-0.03
51,51-6093,Upholsterers,Baby Boomer,8208,7460,-748,-0.09,0.17,0.19,0.02
27,27-1025,Interior Designers,Baby Boomer,14018,13249,-769,-0.05,0.15,0.16,0.01
47,47-2161,Plasterers and Stucco Masons,Baby Boomer,2812,2040,-772,-0.27,0.06,0.07,0.01
47,47-2044,Tile and Marble Setters,Baby Boomer,5456,4663,-793,-0.15,0.07,0.08,0.01
41,41-3011,Advertising Sales Agents,Baby Boomer,25493,24698,-795,-0.03,0.12,0.13,0.01
51,51-6052,"Tailors, Dressmakers, and Custom Sewers",Baby Boomer,15919,15117,-802,-0.05,0.28,0.29,0.01
45,45-4022,Logging Equipment Operators,Baby Boomer,7289,6463,-826,-0.11,0.15,0.16,0.01
51,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,Baby Boomer,3145,2294,-851,-0.27,0.17,0.2,0.03
51,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Baby Boomer,10387,9505,-882,-0.08,0.11,0.15,0.04
51,51-7021,Furniture Finishers,Baby Boomer,4318,3365,-953,-0.22,0.18,0.2,0.02
47,47-2142,Paperhangers,Baby Boomer,1639,661,-978,-0.6,0.15,0.11,-0.04
27,27-1011,Art Directors,Baby Boomer,11992,10999,-993,-0.08,0.17,0.17,0
25,25-2054,"Special Education Teachers, Secondary School",Baby Boomer,28203,27041,-1162,-0.04,0.21,0.21,0
43,43-2011,"Switchboard Operators, Including Answering Service",Baby Boomer,32163,30960,-1203,-0.04,0.21,0.24,0.03
51,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Baby Boomer,6134,4922,-1212,-0.2,0.15,0.18,0.03
47,47-2221,Structural Iron and Steel Workers,Baby Boomer,9069,7815,-1254,-0.14,0.1,0.12,0.02
51,51-5113,Print Binding and Finishing Workers,Baby Boomer,11569,10265,-1304,-0.11,0.17,0.2,0.03
17,17-3011,Architectural and Civil Drafters,Baby Boomer,15460,14134,-1326,-0.09,0.13,0.16,0.03
25,25-2032,"Career/Technical Education Teachers, Secondary School",Baby Boomer,19216,17847,-1369,-0.07,0.22,0.22,0
51,51-5111,Prepress Technicians and Workers,Baby Boomer,9600,8209,-1391,-0.14,0.17,0.21,0.04
27,27-1023,Floral Designers,Baby Boomer,13200,11776,-1424,-0.11,0.18,0.21,0.03
11,nov-31,Postmasters and Mail Superintendents,Baby Boomer,7309,5737,-1572,-0.22,0.25,0.25,0
47,47-2051,Cement Masons and Concrete Finishers,Baby Boomer,16737,15156,-1581,-0.09,0.08,0.1,0.02
51,51-7011,Cabinetmakers and Bench Carpenters,Baby Boomer,15316,13719,-1597,-0.1,0.11,0.15,0.04
17,17-1011,"Architects, Except Landscape and Naval",Baby Boomer,20322,18705,-1617,-0.08,0.15,0.17,0.02
41,41-1012,First-Line Supervisors of Non-Retail Sales Workers,Baby Boomer,68509,66761,-1748,-0.03,0.18,0.19,0.01
11,nov-41,"Property, Real Estate, and Community Association Managers",Baby Boomer,56164,54408,-1756,-0.03,0.21,0.22,0.01
41,41-3041,Travel Agents,Baby Boomer,18214,16281,-1933,-0.11,0.2,0.22,0.03
43,43-9022,Word Processors and Typists,Baby Boomer,22800,20866,-1934,-0.08,0.18,0.18,0
11,nov-81,Lodging Managers,Baby Boomer,9570,7617,-1953,-0.2,0.2,0.18,-0.02
13,13-2021,Appraisers and Assessors of Real Estate,Baby Boomer,18709,16674,-2035,-0.11,0.19,0.19,0
51,51-5112,Printing Press Operators,Baby Boomer,29566,27457,-2109,-0.07,0.13,0.16,0.03
51,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Baby Boomer,7951,5718,-2233,-0.28,0.24,0.28,0.04
47,47-2081,Drywall and Ceiling Tile Installers,Baby Boomer,11046,8773,-2273,-0.21,0.06,0.08,0.02
41,41-9021,Real Estate Brokers,Baby Boomer,26209,22875,-3334,-0.13,0.23,0.23,0
47,47-2021,Brickmasons and Blockmasons,Baby Boomer,13700,10355,-3345,-0.24,0.1,0.12,0.02
33,33-3012,Correctional Officers and Jailers,Baby Boomer,79716,76302,-3414,-0.04,0.17,0.17,0
41,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Baby Boomer,17318,13531,-3787,-0.22,0.15,0.16,0.01
47,47-2141,"Painters, Construction and Maintenance",Baby Boomer,57304,53387,-3917,-0.07,0.12,0.13,0.01
25,25-3098,Substitute Teachers,Baby Boomer,128780,123957,-4823,-0.04,0.21,0.21,0
51,51-6031,Sewing Machine Operators,Baby Boomer,41937,35898,-6039,-0.14,0.21,0.24,0.03
43,43-5051,Postal Service Clerks,Baby Boomer,21519,15297,-6222,-0.29,0.24,0.24,0
25,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Baby Boomer,204579,197623,-6956,-0.03,0.21,0.21,0
43,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Baby Boomer,41182,29163,-12019,-0.29,0.24,0.24,0
47,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,Baby Boomer,120072,107434,-12638,-0.11,0.15,0.17,0.02
43,43-5052,Postal Service Mail Carriers,Baby Boomer,82587,68729,-13858,-0.17,0.24,0.24,0
41,41-9022,Real Estate Sales Agents,Baby Boomer,127870,112902,-14968,-0.12,0.23,0.23,0
47,47-2031,Carpenters,Baby Boomer,142147,127153,-14994,-0.11,0.11,0.12,0.01
11,nov-21,Construction Managers,Baby Boomer,87531,68328,-19203,-0.22,0.17,0.18,0.01
11,nov-13,"Farmers, Ranchers, and Other Agricultural Managers",Baby Boomer,133042,109390,-23652,-0.18,0.22,0.22,0
35,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",Millennial,736378,940923,204545,0.28,0.26,0.3,0.04
35,35-3031,Waiters and Waitresses,Millennial,947924,1097916,149992,0.16,0.41,0.45,0.04
41,41-2011,Cashiers,Millennial,916305,1044244,127939,0.14,0.27,0.31,0.04
39,39-9021,Personal Care Aides,Millennial,224837,323298,98461,0.44,0.23,0.24,0.01
31,31-1011,Home Health Aides,Millennial,203263,280882,77619,0.38,0.28,0.29,0.01
29,29-1141,Registered Nurses,Millennial,551046,612451,61405,0.11,0.22,0.23,0.01
41,41-2031,Retail Salespersons,Millennial,1341347,1401533,60186,0.04,0.28,0.3,0.02
35,35-2014,"Cooks, Restaurant",Millennial,347837,405746,57909,0.17,0.36,0.38,0.02
31,31-1014,Nursing Assistants,Millennial,414237,459313,45076,0.11,0.3,0.31,0.01
35,35-2021,Food Preparation Workers,Millennial,212898,253973,41075,0.19,0.27,0.3,0.03
35,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,Millennial,300182,339499,39317,0.13,0.37,0.4,0.03
39,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",Millennial,232384,262112,29728,0.13,0.36,0.39,0.03
33,33-9032,Security Guards,Millennial,311558,339704,28146,0.09,0.29,0.3,0.01
31,31-9092,Medical Assistants,Millennial,207801,235173,27372,0.13,0.39,0.41,0.02
35,35-2011,"Cooks, Fast Food",Millennial,173070,199122,26052,0.15,0.33,0.37,0.04
37,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Millennial,524401,548281,23880,0.05,0.21,0.22,0.01
25,25-1099,Postsecondary Teachers,Millennial,358505,382215,23710,0.07,0.26,0.27,0.01
41,41-3021,Insurance Sales Agents,Millennial,134359,156795,22436,0.17,0.23,0.22,-0.01
35,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Millennial,72838,94315,21477,0.29,0.17,0.2,0.03
35,35-3011,Bartenders,Millennial,281008,301761,20753,0.07,0.52,0.53,0.01
43,43-6013,Medical Secretaries,Millennial,108047,127966,19919,0.18,0.24,0.24,0
35,35-9021,Dishwashers,Millennial,130268,150139,19871,0.15,0.26,0.29,0.03
37,37-2012,Maids and Housekeeping Cleaners,Millennial,337842,355984,18142,0.05,0.22,0.22,0
13,13-1161,Market Research Analysts and Marketing Specialists,Millennial,142216,160189,17973,0.13,0.37,0.37,0
35,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Millennial,69701,87400,17699,0.25,0.2,0.24,0.04
35,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,Millennial,106679,124311,17632,0.17,0.27,0.3,0.03
43,43-5081,Stock Clerks and Order Fillers,Millennial,558056,574587,16531,0.03,0.29,0.31,0.02
45,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Millennial,217265,233660,16395,0.08,0.3,0.32,0.02
29,29-2061,Licensed Practical and Licensed Vocational Nurses,Millennial,167642,183418,15776,0.09,0.24,0.24,0
29,29-2052,Pharmacy Technicians,Millennial,139091,154389,15298,0.11,0.4,0.42,0.02
43,43-4171,Receptionists and Information Clerks,Millennial,321057,336010,14953,0.05,0.32,0.32,0
39,39-2021,Nonfarm Animal Caretakers,Millennial,58197,72597,14400,0.25,0.31,0.34,0.03
29,29-2041,Emergency Medical Technicians and Paramedics,Millennial,79753,92813,13060,0.16,0.38,0.39,0.01
37,37-3011,Landscaping and Groundskeeping Workers,Millennial,332884,345390,12506,0.04,0.27,0.28,0.01
27,27-2022,Coaches and Scouts,Millennial,61204,73120,11916,0.19,0.29,0.31,0.02
39,39-9031,Fitness Trainers and Aerobics Instructors,Millennial,76463,88284,11821,0.15,0.31,0.33,0.02
29,29-1123,Physical Therapists,Millennial,59619,71092,11473,0.19,0.33,0.34,0.01
31,31-9091,Dental Assistants,Millennial,114119,124728,10609,0.09,0.4,0.4,0
21,21-1093,Social and Human Service Assistants,Millennial,105998,116380,10382,0.1,0.3,0.32,0.02
47,47-5071,"Roustabouts, Oil and Gas",Millennial,22975,33340,10365,0.45,0.5,0.52,0.02
47,47-5013,"Service Unit Operators, Oil, Gas, and Mining",Millennial,21454,31242,9788,0.46,0.48,0.5,0.02
55,55-9999,Military occupations,Millennial,563376,572994,9618,0.02,0.28,0.27,-0.01
25,25-3021,Self-Enrichment Education Teachers,Millennial,80815,90333,9518,0.12,0.25,0.26,0.01
39,39-9032,Recreation Workers,Millennial,83287,92367,9080,0.11,0.25,0.26,0.01
15,15-1132,"Software Developers, Applications",Millennial,200141,209162,9021,0.05,0.35,0.33,-0.02
25,25-2021,"Elementary School Teachers, Except Special Education",Millennial,296417,305103,8686,0.03,0.22,0.22,0
35,35-3041,"Food Servers, Nonrestaurant",Millennial,54680,63363,8683,0.16,0.24,0.26,0.02
