First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
33,33-9021,Private Detectives and Investigators,Baby Boomer,6681,6913,232,0.03,0.2,0.21,0.01
13,13-1074,Farm Labor Contractors,Baby Boomer,508,734,226,0.44,0.36,0.42,0.06
25,25-4021,Librarians,Baby Boomer,29211,29437,226,0.01,0.21,0.21,0
49,49-9096,Riggers,Baby Boomer,1630,1855,225,0.14,0.1,0.12,0.02
39,39-3092,Costume Attendants,Baby Boomer,515,733,218,0.42,0.09,0.12,0.03
29,29-2091,Orthotists and Prosthetists,Baby Boomer,850,1064,214,0.25,0.11,0.13,0.02
47,47-2011,Boilermakers,Baby Boomer,2431,2645,214,0.09,0.12,0.14,0.02
27,27-4099,"Media and Communication Equipment Workers, All Other",Baby Boomer,1835,2044,209,0.11,0.11,0.12,0.01
47,47-5061,"Roof Bolters, Mining",Baby Boomer,711,919,208,0.29,0.12,0.14,0.02
49,49-3022,Automotive Glass Installers and Repairers,Baby Boomer,760,968,208,0.27,0.04,0.05,0.01
13,13-1032,"Insurance Appraisers, Auto Damage",Baby Boomer,1811,2017,206,0.11,0.13,0.16,0.03
51,51-4199,"Metal Workers and Plastic Workers, All Other",Baby Boomer,3244,3449,205,0.06,0.14,0.16,0.02
45,45-4011,Forest and Conservation Workers,Baby Boomer,1904,2097,193,0.1,0.13,0.14,0.01
39,39-5011,Barbers,Baby Boomer,5430,5622,192,0.04,0.08,0.09,0.01
19,19-3091,Anthropologists and Archeologists,Baby Boomer,817,1008,191,0.23,0.13,0.15,0.02
25,25-4013,Museum Technicians and Conservators,Baby Boomer,2016,2204,188,0.09,0.2,0.21,0.01
43,43-9111,Statistical Assistants,Baby Boomer,2211,2398,187,0.08,0.14,0.16,0.02
31,31-2012,Occupational Therapy Aides,Baby Boomer,540,724,184,0.34,0.07,0.08,0.01
25,25-4011,Archivists,Baby Boomer,962,1146,184,0.19,0.19,0.2,0.01
53,53-6011,Bridge and Lock Tenders,Baby Boomer,558,741,183,0.33,0.16,0.19,0.03
13,13-1021,"Buyers and Purchasing Agents, Farm Products",Baby Boomer,1777,1959,182,0.1,0.14,0.16,0.02
39,39-3012,Gaming and Sports Book Writers and Runners,Baby Boomer,1953,2133,180,0.09,0.13,0.14,0.01
19,19-3032,Industrial-Organizational Psychologists,Baby Boomer,588,764,176,0.3,0.34,0.34,0
51,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Baby Boomer,23785,23961,176,0.01,0.16,0.19,0.03
51,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Baby Boomer,5657,5828,171,0.03,0.24,0.28,0.04
53,53-7032,Excavating and Loading Machine and Dragline Operators,Baby Boomer,9960,10131,171,0.02,0.16,0.19,0.03
39,39-4021,Funeral Attendants,Baby Boomer,6972,7142,170,0.02,0.22,0.22,0
53,53-1011,Aircraft Cargo Handling Supervisors,Baby Boomer,762,928,166,0.22,0.1,0.13,0.03
47,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",Baby Boomer,671,832,161,0.24,0.11,0.12,0.01
53,53-2022,Airfield Operations Specialists,Baby Boomer,866,1022,156,0.18,0.11,0.14,0.03
19,19-2043,Hydrologists,Baby Boomer,935,1091,156,0.17,0.13,0.15,0.02
51,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Baby Boomer,31339,31493,154,0,0.14,0.17,0.03
51,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Baby Boomer,3801,3952,151,0.04,0.15,0.19,0.04
19,19-1023,Zoologists and Wildlife Biologists,Baby Boomer,2913,3063,150,0.05,0.15,0.16,0.01
47,47-3019,"Helpers, Construction Trades, All Other",Baby Boomer,1447,1595,148,0.1,0.05,0.07,0.02
